age,city,is_paris,months_since_inscription,language,dark_mode,font_accessibility,subscription_type,is_renewed,nb_interventions_total,nb_services_domicile,nb_services_medical,nb_services_online,nb_services_sante,nb_services_loisirs,nb_services_tourisme,nb_services_emploi,nb_services_cours,nb_orders_shop,avg_grade_given,total_spent,nb_quotes_requested,nb_quotes_accepted,next_service_type
72,Lyon,0,14,fr,0,1,annual_standard,0,5,1,1,0,2,1,0,0,0,2,4.1,487.30,,
68,Paris 15e,1,33,fr,1,0,annual_renewal,1,14,5,4,1,3,1,1,1,1,4,3.8,1542.60,,
81,Bordeaux,0,52,fr,0,2,annual_renewal,1,21,8,7,2,12,1,1,1,1,2,4.0,2189.45,,
74,Nantes,0,9,fr,0,0,monthly_standard,0,2,0,0,0,1,0,1,0,0,1,4.5,178.90,,
65,Paris 20e,1,41,en,0,0,annual_renewal,1,16,4,4,3,1,9,1,1,1,3,4.3,1823.75,,
88,Toulouse,0,27,fr,0,1,annual_standard,0,9,3,3,0,5,0,0,1,0,1,3.6,742.15,,
77,Paris 15e,1,60,fr,1,1,monthly_renewal,1,31,12,11,3,2,2,2,4,2,6,3.2,2894.80,,
63,Strasbourg,0,18,de,0,0,annual_standard,0,6,1,1,1,0,4,0,0,0,2,4.6,631.20,,
85,Montreuil,1,45,fr,0,2,annual_renewal,1,19,7,6,1,11,1,1,1,1,1,4.2,1734.55,,
71,Nice,0,11,fr,1,0,monthly_standard,0,3,0,0,0,0,1,1,0,0,0,3.9,210.40,,
66,Paris 20e,1,37,fr,0,0,annual_renewal,1,12,3,3,2,1,6,1,1,1,2,4.4,1095.30,,
79,Grenoble,0,53,fr,0,1,monthly_renewal,1,22,8,7,3,14,1,1,1,1,3,3.5,2341.60,,
60,Paris 12e,1,7,fr,0,0,monthly_standard,0,1,0,0,0,0,0,0,0,0,0,4.8,98.50,,
73,Rennes,0,29,fr,0,0,annual_renewal,1,10,3,3,1,1,1,5,1,0,3,4.1,1156.85,,
84,Paris 12e,1,48,en,1,0,monthly_renewal,1,26,9,8,2,1,1,1,3,1,4,3.7,2067.90,,
